model|latency|file|prediction|truth
tiny.en|0.11|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.10|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.09|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.10|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.10|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.09|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.10|sentence_12.wav| I was born on January 15, 1995.|I was born on January 15, 1995.
tiny.en|0.11|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.11|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.11|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.10|sentence_13.wav| I have 32 unread emails in my inbox.|I have 32 unread emails in my inbox.
tiny.en|0.13|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.16|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.14|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.14|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.14|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.15|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.13|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.14|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.13|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.14|sentence_14.wav| The meeting starts at 9 a.m. and ends at 11.30 a.m.|The meeting starts at 9 AM and ends at 11:30 AM.
tiny.en|0.09|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.09|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.09|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.09|sentence_15.wav| There are 24 hours in the day.|There are 24 hours in a day.
tiny.en|0.10|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.11|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.10|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.10|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.11|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.10|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.12|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.12|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.11|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.11|sentence_16.wav| The price of the item is $99.99.|The price of the item is $99.99.
tiny.en|0.11|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.10|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.11|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.11|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.10|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.10|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.11|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.12|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.10|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.11|sentence_17.wav| I'll need 3 cups of flour and 2 eggs.|I’ll need 3 cups of flour and 2 eggs.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.09|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.11|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.11|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.10|sentence_18.wav| The train arrives at 345 in the afternoon.|The train arrives at 3:45 in the afternoon.
tiny.en|0.11|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.11|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.11|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.11|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.12|sentence_19.wav| It's a sunny day with a few clouds in the sky.|It’s a sunny day with a few clouds in the sky.
tiny.en|0.11|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.11|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_2.wav| I hope you're having a great day.|I hope you’re having a great day!
tiny.en|0.10|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.10|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.10|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_20.wav| The temperature is 22 degrees Celsius.|The temperature is 22 degrees Celsius.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.10|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.10|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.10|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.09|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.10|sentence_21.wav| It started training heavily after lunch.|It started raining heavily after lunch.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.10|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.12|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.12|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.11|sentence_22.wav| It's windy outside so hold onto your head.|It’s windy outside, so hold on to your hat.
tiny.en|0.10|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.10|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.10|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_23.wav| Where is the nearest grocery store?|Where is the nearest grocery store?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.12|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.10|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.08|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.09|sentence_24.wav| What's your favorite movie?|What’s your favorite movie?
tiny.en|0.11|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.12|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.11|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.11|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.11|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.11|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.12|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.15|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.14|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.21|sentence_25.wav| How do I get to the bus station from here?|How do I get to the bus station from here?
tiny.en|0.21|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.19|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.18|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.18|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.15|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.21|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.18|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.24|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.15|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.25|sentence_26.wav| Can you repeat that? I think I'll check.|Can you repeat that? I didn’t catch it.
tiny.en|0.17|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.17|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.24|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.12|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.20|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.12|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.12|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.21|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.19|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.16|sentence_27.wav| How far is the airport from downtown?|How far is the airport from downtown?
tiny.en|0.20|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.19|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.16|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.18|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.13|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.16|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.25|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.15|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.16|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.16|sentence_28.wav| What's the water like today?|What’s the weather like today?
tiny.en|0.18|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.10|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.12|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.18|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.15|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.22|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.12|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.12|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.17|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.17|sentence_29.wav| What is the capital of France?|What is the capital of France?
tiny.en|0.17|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.21|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.18|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.18|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.13|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.16|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.13|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.17|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.18|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.21|sentence_3.wav| Let's go for a walk in the park.|Let’s go for a walk in the park.
tiny.en|0.13|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.26|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.13|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.19|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.21|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.20|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.22|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.27|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.18|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.21|sentence_30.wav| I love the sound of wave scratching in the shore.|I love the sound of the waves crashing on the shore.
tiny.en|0.13|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.25|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.12|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.16|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.28|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.18|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.18|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.12|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.18|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.12|sentence_31.wav| It's a beautiful day to explore the city.|It’s a beautiful day to explore the city.
tiny.en|0.11|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.18|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.20|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.16|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.20|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.16|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.18|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.11|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.11|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.18|sentence_32.wav| My favorite food is pizza with extra cheese.|My favorite food is pizza with extra cheese.
tiny.en|0.20|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.14|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.27|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.19|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.21|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.19|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.16|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.18|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.19|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.13|sentence_33.wav| This is the best cup of coffee I've ever had.|This is the best cup of coffee I’ve ever had.
tiny.en|0.27|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.15|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.18|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.22|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.14|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.18|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.19|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.19|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.12|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.25|sentence_34.wav| I'll take a walk down by the beach later.|I’ll take a walk down by the beach later.
tiny.en|0.18|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.20|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.20|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.19|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.17|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.20|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
tiny.en|0.18|sentence_35.wav| She sold seashells by the seashore.|She sells seashells by the seashore.
